timestamp_16,heart_rate
56,97
116,96
176,105
296,108
356,0
1316,0
2276,0
3236,0
4196,0
5156,0
6116,0
6836,109
6896,110
6956,125
7016,121
7076,123
7136,110
7196,103
7256,104
7376,106
7436,105
7556,103
7616,104
7736,99
7796,103
7856,104
7916,103
7976,97
8036,102
8096,99
8156,104
8276,110
8336,101
8396,98
8456,112
8516,114
8576,110
8636,98
8696,100
8756,101
8816,102
8876,103
8936,114
8996,133
9056,116
9116,103
9356,101
9416,103
9476,101
9536,99
9596,106
9776,107
9836,124
9896,126
10016,125
10076,120
10136,111
10196,113
10256,125
10316,126
10436,118
10496,107
10556,105
10616,104
10856,105
10916,104
10976,105
11036,123
11096,125
11156,119
11216,110
11276,116
11336,114
11396,113
11456,112
11516,104
11576,102
11636,116
11696,123
11756,115
11816,103
11876,110
11936,123
12056,124
12116,122
12176,110
12236,103
12296,105
12356,104
12416,102
12536,101
12596,99
12656,105
12716,123
12776,121
12836,105
12896,100
12956,101
13016,107
13076,126
13136,122
13196,119
13316,108
13376,99
13436,97
13496,100
13556,102
13676,109
13736,108
13796,114
13856,108
13916,119
13976,122
14036,102
14096,96
14156,95
14216,99
14276,104
14336,103
14396,99
14456,97
14516,101
14576,98
14636,97
14696,107
14756,123
14876,124
14936,122
14996,118
15056,115
15116,101
15176,99
15236,100
15296,97
15356,94
15416,122
15476,124
15716,123
15896,115
16016,119
16076,123
16136,122
16256,121
16376,118
16436,116
16496,123
16556,145
16616,149
16676,139
16736,132
16796,138
16856,137
16976,133
17036,123
17096,118
17156,117
17216,114
17276,113
17456,110
17516,113
17576,114
17636,112
17756,109
17816,124
17876,123
17936,111
18056,112
18116,110
18176,113
18236,118
18296,110
18476,112
18536,110
18656,111
18716,108
18776,107
18836,117
18896,116
18956,109
19016,116
19076,112
19136,111
19196,109
19256,103
19316,111
19376,113
19436,112
19496,114
19616,116
19676,139
19736,123
19796,116
19856,112
19916,109
19976,107
20156,108
20216,118
20276,113
20336,108
20396,110
20456,107
20516,110
20576,111
20636,107
20696,110
20756,107
20816,109
20936,111
20996,107
21116,113
21176,109
21236,106
21296,108
21356,110
21416,108
21596,107
21656,105
21716,106
21776,105
21836,104
21896,106
21956,97
22016,90
22076,89
22136,90
22196,104
22256,98
22316,96
22496,92
22556,91
22616,93
22676,86
22736,90
22796,98
22856,100
22916,115
22976,125
23036,106
23096,99
23156,97
23216,93
23276,96
23336,93
23456,94
23516,90
23576,91
23636,94
23696,88
23756,94
23816,88
23876,91
23936,90
23996,86
24056,83
24116,78
24176,95
24236,97
24296,94
24356,87
24416,91
24476,83
24536,80
24596,82
24656,88
24716,86
24776,92
24836,84
24896,83
24956,94
25016,92
25136,82
25196,86
25256,88
25316,92
25376,94
25436,96
25496,94
25556,91
25616,94
25736,92
25796,81
25856,82
25916,93
25976,88
26096,81
26156,78
26216,76
26276,93
26336,95
26456,86
26516,95
26576,94
26696,98
26756,105
26816,112
26876,100
26936,97
27056,96
27116,90
27176,89
27236,95
27296,96
27356,93
27416,92
27476,87
27536,81
27596,92
27656,90
27716,82
27776,81
27836,84
27896,81
27956,78
28016,77
28076,86
28136,84
28196,90
28256,94
28316,88
28376,89
28496,85
28556,92
28616,91
28676,93
28736,82
28796,81
28856,80
28916,85
28976,91
29036,84
29096,86
29156,101
29216,89
29276,94
29336,92
29396,86
29456,92
29516,99
29576,98
29636,97
29756,96
29816,94
29876,96
29936,90
29996,95
30116,87
30176,86
30236,97
30296,96
30356,92
30416,86
30476,94
30536,99
30596,102
30656,92
30716,91
31016,89
31196,90
31316,89
31376,87
31392,0
31436,89
31556,90
31616,87
31676,90
31736,88
31796,86
31856,85
31916,88
31976,87
32036,88
32096,86
32156,88
32216,89
32276,86
32336,81
32352,0
32396,88
32456,90
32516,91
32576,89
32636,84
32696,83
32756,81
32816,79
32936,76
32996,74
33056,75
33236,73
33296,72
33312,0
33416,71
33476,79
33536,77
33596,72
33656,73
33716,81
33776,74
33836,72
33896,71
33956,95
34016,90
34076,82
34136,80
34256,77
34272,0
34316,74
34436,88
34496,79
34556,76
34616,75
34676,73
34736,74
34916,92
34976,89
35036,77
35096,73
35156,83
35216,89
35232,0
35276,90
35336,92
35396,96
35456,92
35516,90
35576,88
35636,76
35696,73
35756,76
35816,84
35876,91
35936,83
35996,79
36056,0
36192,0
37016,0
37152,0
37976,0
38112,0
38936,0
39072,0
39896,0
40032,0
40856,0
40992,0
41816,0
41952,0
42776,0
42912,0
43736,0
43872,0
44696,0
44832,0
45656,0
45792,0
46616,0
46752,0
47576,0
47712,0
48536,0
48672,0
49496,0
49632,0
50456,0
50592,0
51416,0
51552,0
52512,0
53472,0
54432,0
55392,0
56352,0
57312,0
58272,0
58932,80
58992,100
59052,101
59172,98
59232,101
59352,102
59412,104
59472,121
59532,110
59592,101
59652,98
59712,95
59772,101
59832,84
59892,77
59952,80
60012,91
60072,95
60132,86
60192,93
60252,84
62052,184
62112,181
62172,156
62232,146
62292,142
62352,140
62412,139
62472,132
62532,124
62592,122
62652,121
62712,117
62772,115
62832,111
62892,127
62952,122
63012,120
63072,113
63132,110
63192,126
63252,116
63312,104
63372,101
63432,104
63492,102
63552,104
63612,97
63672,93
63732,99
63792,104
63852,101
63912,104
63972,100
64092,104
64152,100
64212,96
64272,95
64332,103
64392,109
64452,101
64512,100
64572,104
64632,103
64752,116
64812,115
64872,106
64932,98
64992,95
65052,102
65172,99
65232,102
65292,103
65352,104
65412,100
65532,103
